id, company_id, first_name, last_name, username, password, salt, email, roles
"3381af4c-8690-496b-a086-b346e9fbc1bc","1","François","Moerman","françois","$6$rounds=1000$2372ba9f0d05a19$2MdR3wm19p6TOPazCueMvl/xSUatKRNfbtuK0zhA9lA9Z5nXiwIcTvjY.KrF/eA2W5sRFWvMs8VNNbWGdvrEI1","$6$rounds=1000$2372ba9f0d05a19","francois@x-rator.com","{admin}"
"03d21be5-0196-4557-8e55-8c03c9020201","1","Nicolas","Striebig","nicolas","$6$rounds=1000$2372ba9f0d05a19$2MdR3wm19p6TOPazCueMvl/xSUatKRNfbtuK0zhA9lA9Z5nXiwIcTvjY.KrF/eA2W5sRFWvMs8VNNbWGdvrEI1","$6$rounds=1000$2372ba9f0d05a19","nicolas@x-rator.com","{admin}"
"61ba2c5d-90a5-4d58-b18e-e19a497f09e0","1","Ronan","Mouchoux","ronan","$6$rounds=1000$2372ba9f0d05a19$2MdR3wm19p6TOPazCueMvl/xSUatKRNfbtuK0zhA9lA9Z5nXiwIcTvjY.KrF/eA2W5sRFWvMs8VNNbWGdvrEI1","$6$rounds=1000$2372ba9f0d05a19","ronan@x-rator.com","{admin}"
"69a0539b-0c13-4a18-bef5-69c8d0382ee7","1","David","Basset","david","$6$rounds=1000$2372ba9f0d05a19$2MdR3wm19p6TOPazCueMvl/xSUatKRNfbtuK0zhA9lA9Z5nXiwIcTvjY.KrF/eA2W5sRFWvMs8VNNbWGdvrEI1","$6$rounds=1000$2372ba9f0d05a19","david@x-rator.com","{admin}"
"3107ad82-cc71-4a7e-9f4c-1585716c0191","1","Sebastien","Lorentz","sebastien","$6$rounds=1000$2372ba9f0d05a19$2MdR3wm19p6TOPazCueMvl/xSUatKRNfbtuK0zhA9lA9Z5nXiwIcTvjY.KrF/eA2W5sRFWvMs8VNNbWGdvrEI1","$6$rounds=1000$2372ba9f0d05a19","sebastien@x-rator.com","{admin}"
"d080ea8b-7957-4ad3-86ec-0959cf0a050b","1","Elodie","Brosset","élodie","$6$rounds=1000$2372ba9f0d05a19$2MdR3wm19p6TOPazCueMvl/xSUatKRNfbtuK0zhA9lA9Z5nXiwIcTvjY.KrF/eA2W5sRFWvMs8VNNbWGdvrEI1","$6$rounds=1000$2372ba9f0d05a19","elodie@x-rator.com","{admin}"
"71ca8bcb-9167-40fc-a5ec-fb229696a588","1","Mathieu","Golos","mathieu","$6$rounds=1000$2372ba9f0d05a19$2MdR3wm19p6TOPazCueMvl/xSUatKRNfbtuK0zhA9lA9Z5nXiwIcTvjY.KrF/eA2W5sRFWvMs8VNNbWGdvrEI1","$6$rounds=1000$2372ba9f0d05a19","mathieu@x-rator.com","{admin}"
"f7f2ded2-8e0b-4e50-85d8-ca0ab1ab2a5a","1","Quentin","Michaud","quentin","$6$rounds=1000$2372ba9f0d05a19$2MdR3wm19p6TOPazCueMvl/xSUatKRNfbtuK0zhA9lA9Z5nXiwIcTvjY.KrF/eA2W5sRFWvMs8VNNbWGdvrEI1","$6$rounds=1000$2372ba9f0d05a19","quentin@x-rator.com","{admin}"
"1a3f30d8-a8fb-4f93-be14-5ba55e5a4bdc","1","Etienne","Blanc","etienne","$6$rounds=1000$2372ba9f0d05a19$2MdR3wm19p6TOPazCueMvl/xSUatKRNfbtuK0zhA9lA9Z5nXiwIcTvjY.KrF/eA2W5sRFWvMs8VNNbWGdvrEI1","$6$rounds=1000$2372ba9f0d05a19","etienne@x-rator.com","{admin}"
"423a3c78-cfbf-4ca6-b213-1e52fab801c9","1","Thomas","Galinié","thomas","$6$rounds=1000$2372ba9f0d05a19$2MdR3wm19p6TOPazCueMvl/xSUatKRNfbtuK0zhA9lA9Z5nXiwIcTvjY.KrF/eA2W5sRFWvMs8VNNbWGdvrEI1","$6$rounds=1000$2372ba9f0d05a19","thomas@x-rator.com","{admin}"
"7d403e7b-e90c-463d-9b70-501b0d698c18","1","Abdella","Boudaoud","abdella","$6$rounds=1000$2372ba9f0d05a19$2MdR3wm19p6TOPazCueMvl/xSUatKRNfbtuK0zhA9lA9Z5nXiwIcTvjY.KrF/eA2W5sRFWvMs8VNNbWGdvrEI1","$6$rounds=1000$2372ba9f0d05a19","abdella@x-rator.com","{admin}"
"d090ea8b-7957-4ad3-86ec-0959cf0a060b","1","Benjamin","Bourgeaux","benjamin","$6$rounds=1000$2372ba9f0d05a19$2MdR3wm19p6TOPazCueMvl/xSUatKRNfbtuK0zhA9lA9Z5nXiwIcTvjY.KrF/eA2W5sRFWvMs8VNNbWGdvrEI1","$6$rounds=1000$2372ba9f0d05a19","benjamin@doe.com","{admin}"
"2a3f30d8-a8fb-4f93-be14-5ba55e5a4bdc","1","John","Doe","john_doe","$6$rounds=1000$2372ba9f0d05a19$2MdR3wm19p6TOPazCueMvl/xSUatKRNfbtuK0zhA9lA9Z5nXiwIcTvjY.KrF/eA2W5sRFWvMs8VNNbWGdvrEI1","$6$rounds=1000$2372ba9f0d05a19","john-doe@x-rator.com","{member}"
"3a3f30d8-a8fb-4f93-be14-5ba55e5a4bdc","2","John","Doe","john_doe","$6$rounds=1000$2372ba9f0d05a19$2MdR3wm19p6TOPazCueMvl/xSUatKRNfbtuK0zhA9lA9Z5nXiwIcTvjY.KrF/eA2W5sRFWvMs8VNNbWGdvrEI1","$6$rounds=1000$2372ba9f0d05a19","john@doe.com","{member}"
"4a3f30d8-a8fb-4f93-be14-5ba55e5a4bdc","2","Jane","Doe","jane_doe","$6$rounds=1000$2372ba9f0d05a19$2MdR3wm19p6TOPazCueMvl/xSUatKRNfbtuK0zhA9lA9Z5nXiwIcTvjY.KrF/eA2W5sRFWvMs8VNNbWGdvrEI1","$6$rounds=1000$2372ba9f0d05a19","jane@doe.com","{admin}"
"5a3f30d8-a8fb-4f93-be14-5ba55e5a4bdc","2","William","Durand","william_durand","$6$rounds=1000$2372ba9f0d05a19$2MdR3wm19p6TOPazCueMvl/xSUatKRNfbtuK0zhA9lA9Z5nXiwIcTvjY.KrF/eA2W5sRFWvMs8VNNbWGdvrEI1","$6$rounds=1000$2372ba9f0d05a19","william@doe.com","{admin}"
"6a3f30d8-a8fb-4f93-be14-5ba55e5a4bdc","2","Annick","Martin","annick_martin","$6$rounds=1000$2372ba9f0d05a19$2MdR3wm19p6TOPazCueMvl/xSUatKRNfbtuK0zhA9lA9Z5nXiwIcTvjY.KrF/eA2W5sRFWvMs8VNNbWGdvrEI1","$6$rounds=1000$2372ba9f0d05a19","annick@doe.com","{member}"
"7a3f30d8-a8fb-4f93-be14-5ba55e5a4bdc","2","Patoche","Bertrand","patoche_bertrand","$6$rounds=1000$2372ba9f0d05a19$2MdR3wm19p6TOPazCueMvl/xSUatKRNfbtuK0zhA9lA9Z5nXiwIcTvjY.KrF/eA2W5sRFWvMs8VNNbWGdvrEI1","$6$rounds=1000$2372ba9f0d05a19","patoche@doe.com","{admin}"
"8a3f30d8-a8fb-4f93-be14-5ba55e5a4bdc","2","Marc","Morel","marc_morel","$6$rounds=1000$2372ba9f0d05a19$2MdR3wm19p6TOPazCueMvl/xSUatKRNfbtuK0zhA9lA9Z5nXiwIcTvjY.KrF/eA2W5sRFWvMs8VNNbWGdvrEI1","$6$rounds=1000$2372ba9f0d05a19","marc@doe.com","{admin}"
"9a3f30d8-a8fb-4f93-be14-5ba55e5a4bdc","2","Yvan","Comparhzar","yvan_comparhzar","$6$rounds=1000$2372ba9f0d05a19$2MdR3wm19p6TOPazCueMvl/xSUatKRNfbtuK0zhA9lA9Z5nXiwIcTvjY.KrF/eA2W5sRFWvMs8VNNbWGdvrEI1","$6$rounds=1000$2372ba9f0d05a19","yvan@doe.com","{admin}"
